Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,team,Ht,Wt,Exp,PER,TS%,3PAr,AST%,STL%,BLK%,TOV%,USG%,OWS,WS,WS/48,BPM,OBPM,VORP,TRB%
B.J. Armstrong,PG,26,82,82,33.8,5.8,12.3,.476,0.7,1.6,.444,5.1,10.6,.481,.505,2.4,2.8,.855,0.3,1.7,2.1,3.9,1.0,0.1,1.6,1.8,14.8,1994/1995,CHI,6-2,175,4,14.5,.547,.134,18.0,1.5,0.2,10.6,19.8,4.9,7.5,.130,-0.1,0.3,1.3,3.6
Vincent Askew,SG,27,80,3,21.1,3.4,7.1,.481,0.1,0.4,.194,3.3,6.7,.498,.487,2.2,2.6,.829,0.8,1.6,2.3,2.4,0.9,0.2,0.9,1.8,9.1,1994/1995,SEA,6-6,210,4,15.9,.551,.055,16.8,2.2,0.8,9.6,18.5,3.9,6.0,.169,1.8,1.1,1.6,6.5
Keith Askins,SF,26,37,0,8.6,1.0,2.4,.409,0.1,0.6,.190,0.9,1.8,.478,.432,0.2,0.3,.900,0.9,1.3,2.2,0.4,0.3,0.0,0.6,1.5,2.3,1994/1995,MIA,6-7,197,3,8.2,.460,.239,5.9,1.8,0.2,18.5,15.3,-0.1,0.3,.044,-4.6,-4.2,-0.2,14.6
Stacey Augmon,SG,25,82,82,31.8,5.4,10.5,.510,0.0,0.1,.143,5.3,10.4,.513,.510,4.1,5.3,.764,2.2,2.6,4.8,2.3,1.8,0.5,1.8,2.2,14.8,1994/1995,ATL,6-8,205,2,17.9,.576,.008,11.0,2.9,1.1,12.3,19.8,5.7,9.7,.179,2.7,1.3,3.1,8.3
Isaac Austin,C,24,14,0,14.4,2.1,4.7,.439,0.0,0.1,.000,2.1,4.6,.446,.439,1.0,1.6,.609,1.8,3.1,4.9,1.2,0.4,0.7,1.2,2.1,5.1,1994/1995,PHI,6-10,255,2,14.1,.473,.015,13.2,1.2,3.0,18.3,20.1,0.0,0.2,.040,-4.2,-2.9,-0.1,18.8
Anthony Avent,PF,24,33,20,21.1,2.8,6.9,.404,0.0,0.0,0,2.8,6.9,.404,.404,1.8,2.4,.772,1.8,2.8,4.7,1.0,0.5,0.6,1.3,1.8,7.4,1994/1995,MIL,6-9,235,1,11.3,.466,.000,7.4,1.2,1.9,14.1,19.0,-0.1,0.3,.022,-4.3,-2.8,-0.4,12.7
Anthony Avent,PF,24,41,20,16.5,1.4,4.1,.341,0.0,0.0,0,1.4,4.1,.341,.341,0.7,1.1,.636,2.0,2.4,4.5,0.8,0.4,0.3,1.0,2.1,3.5,1994/1995,ORL,6-9,235,1,7.1,.380,.000,6.2,1.3,1.0,18.2,14.6,-0.5,0.1,.006,-6.0,-4.6,-0.7,15.3
John Bagley,PG,33,3,0,4.3,0.0,0.7,.000,0.0,0.0,0,0.0,0.7,.000,.000,0.7,0.7,1.000,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.7,0.7,1994/1995,ATL,6-0,185,10,7.6,.347,.000,28.1,0.0,0.0,0.0,9.5,0.0,0.0,.105,-6.8,-5.4,0.0,4.2
Thurl Bailey,PF,32,79,3,16.4,2.9,5.8,.510,0.0,0.0,.000,2.9,5.7,.512,.510,1.5,1.9,.799,0.8,1.9,2.7,0.7,0.3,0.7,0.7,1.2,7.4,1994/1995,MIN,6-11,215,10,15.2,.560,.004,7.2,0.8,2.9,10.0,19.5,1.9,2.6,.097,-0.3,0.5,0.6,9.7
Vin Baker,C,22,82,63,31.2,5.3,10.6,.501,0.0,0.1,.200,5.3,10.5,.502,.501,2.9,5.0,.569,3.4,4.2,7.6,2.0,0.7,1.4,2.0,2.8,13.5,1994/1995,MIL,6-11,232,R,16.1,.526,.006,10.6,1.2,3.0,13.4,20.5,2.6,4.4,.082,-1.2,0.0,0.5,13.9
