Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,team,Ht,Wt,Exp,PER,TS%,3PAr,AST%,STL%,BLK%,TOV%,USG%,OWS,WS,WS/48,BPM,OBPM,VORP,TRB%
Ron Harper,SG,27,39,34,35.5,7.3,18.7,.391,1.2,3.8,.324,6.1,14.9,.408,.424,3.7,5.6,.668,1.5,3.3,4.8,5.4,1.7,0.9,3.3,2.8,19.6,1991/1992,LAC,6-6,185,4,14.5,.463,.203,23.2,2.3,1.5,13.5,28.0,-0.8,0.9,.030,1.0,0.6,1.0,7.3
Tony Harris,SG,23,6,0,6.8,0.7,2.7,.250,0.0,0.3,.000,0.7,2.3,.286,.250,0.3,0.7,.500,0.0,0.2,0.2,0.0,0.2,0.0,0.5,0.8,1.7,1991/1992,PHI,6-3,190,R,-5.0,.282,.125,0.0,1.2,0.0,14.5,22.1,-0.2,-0.2,-0.248,-16.4,-12.1,-0.1,1.4
Scott Hastings,PF,30,27,0,4.2,0.6,1.0,.571,0.1,0.1,.750,0.5,0.9,.542,.625,0.5,0.5,1.000,0.5,0.5,1.0,0.3,0.0,0.0,0.3,0.9,1.8,1991/1992,DET,6-10,235,8,15.8,.712,.143,9.3,0.0,0.0,17.2,15.8,0.4,0.5,.216,0.9,1.1,0.1,14.2
Hersey Hawkins,SG,24,80,80,38.9,7.4,15.6,.472,1.4,3.4,.400,6.0,12.3,.491,.515,6.0,6.9,.871,0.6,3.3,3.9,3.7,2.2,0.5,2.7,2.3,22.1,1991/1992,PHI,6-3,190,2,19.4,.592,.216,15.3,2.9,0.7,12.5,24.0,6.5,9.8,.151,3.3,2.4,4.1,5.6
Gerald Henderson,PG,35,23,10,17.0,2.2,5.1,.427,0.3,0.9,.333,1.9,4.2,.448,.457,0.7,0.9,.762,0.3,1.3,1.6,2.7,0.5,0.1,1.2,1.9,5.3,1991/1992,DET,6-2,175,11,10.1,.487,.179,23.3,1.6,0.3,18.2,17.3,0.0,0.5,.061,-1.6,-2.3,0.0,5.4
Steve Henson,PG,22,68,0,10.1,1.2,2.8,.418,0.3,0.8,.333,0.9,2.0,.452,.466,0.6,0.6,.905,0.2,0.5,0.8,1.9,0.5,0.0,0.6,1.2,3.1,1991/1992,MIL,5-11,177,R,11.5,.516,.286,26.2,2.3,0.0,17.2,15.6,0.7,1.2,.085,-1.6,-1.5,0.1,4.4
Mike Higgins,SF,23,7,0,8.7,0.9,1.4,.600,0.0,0.0,0,0.9,1.4,.600,.600,0.6,1.0,.571,0.6,0.1,0.7,0.3,0.0,0.3,0.6,2.3,2.3,1991/1992,SAC,6-9,220,1,4.1,.612,.000,4.8,0.0,2.1,23.4,12.2,0.0,0.0,.017,-8.0,-6.3,-0.1,4.6
Rod Higgins,SF,31,82,9,24.7,3.2,6.8,.463,0.9,2.7,.332,2.3,4.1,.549,.529,2.3,2.8,.819,1.3,3.0,4.3,1.4,0.6,0.5,0.8,2.4,9.5,1991/1992,GSW,6-7,200,8,13.4,.589,.394,7.2,1.2,1.1,9.0,14.3,4.2,5.3,.127,0.7,1.3,1.4,9.6
Sean Higgins,SF,22,50,0,9.3,1.9,4.2,.458,0.1,0.4,.158,1.9,3.9,.487,.465,0.6,0.7,.848,0.4,0.9,1.3,0.7,0.2,0.0,1.0,1.1,4.5,1991/1992,SAS,6-9,205,R,9.1,.497,.090,11.6,0.8,0.1,17.8,24.8,-0.5,0.0,.000,-6.5,-4.4,-0.5,7.5
Tyrone Hill,PF,22,74,22,16.1,2.0,4.0,.492,0.0,0.0,0,2.0,4.0,.492,.492,1.3,2.1,.632,2.1,3.1,5.2,0.3,0.4,0.4,1.0,3.6,5.3,1991/1992,GSW,6-9,240,R,10.5,.533,.000,2.1,1.3,1.5,16.4,14.7,0.9,2.1,.084,-4.7,-3.3,-0.8,17.7
Roy Hinson,PF,29,9,0,10.1,2.2,4.3,.513,0.0,0.0,0,2.2,4.3,.513,.513,0.1,0.3,.333,0.7,1.4,2.1,0.4,0.0,0.3,0.7,1.6,4.6,1991/1992,NJN,6-9,210,7,11.1,.508,.000,7.1,0.0,1.9,13.0,20.5,0.0,0.1,.036,-4.6,-3.6,-0.1,11.0
Craig Hodges,SG,30,73,0,11.5,2.0,4.7,.424,0.6,1.6,.383,1.4,3.1,.445,.488,0.4,0.4,.963,0.1,0.4,0.6,1.3,0.5,0.0,0.5,1.0,5.0,1991/1992,CHI,6-2,190,8,12.4,.509,.334,15.4,2.0,0.1,9.0,19.8,1.0,1.7,.099,-1.7,-0.8,0.1,2.9
Dave Hoppen,C,26,19,0,5.9,0.9,1.7,.563,0.0,0.1,.000,0.9,1.6,.581,.563,0.4,0.5,.800,0.7,0.8,1.6,0.2,0.1,0.1,0.6,0.9,2.3,1991/1992,CHH,6-11,235,3,11.2,.604,.031,4.0,0.9,0.6,24.8,18.4,0.0,0.1,.038,-5.9,-3.3,-0.1,15.4
Dave Hoppen,C,26,11,0,3.9,0.5,1.1,.500,0.0,0.1,.000,0.5,1.0,.545,.500,0.7,1.1,.667,0.4,0.5,0.8,0.0,0.1,0.0,0.1,1.0,1.8,1991/1992,PHI,6-11,235,3,13.2,.579,.083,0.0,1.2,0.0,5.5,18.6,0.1,0.1,.164,-7.2,-3.8,-0.1,11.7
Dennis Hopson,SF,25,61,0,11.9,1.7,4.0,.426,0.0,0.1,.200,1.7,3.9,.431,.428,0.9,1.4,.663,0.8,1.0,1.8,1.1,0.4,0.2,1.0,1.3,4.3,1991/1992,CHI,6-5,200,3,10.0,.471,.020,11.5,1.7,1.2,17.4,19.9,-0.3,0.5,.035,-4.0,-3.1,-0.4,8.8
Jeff Hornacek,SG,27,80,77,34.2,6.8,13.1,.518,0.8,1.8,.418,6.0,11.3,.534,.547,2.5,2.8,.897,0.9,3.1,4.0,5.1,1.4,0.2,1.6,2.3,16.9,1991/1992,PHO,6-4,190,4,17.8,.587,.139,21.2,1.9,0.3,10.2,19.1,6.9,9.7,.171,3.3,2.6,3.7,6.4
Jay Humphries,PG,28,80,80,34.1,6.0,12.0,.502,0.8,2.0,.373,5.3,10.0,.528,.533,2.4,3.0,.799,0.7,2.0,2.8,6.7,1.6,0.1,1.9,3.0,15.2,1991/1992,MIL,6-3,185,6,17.4,.570,.168,29.7,2.4,0.2,12.4,19.1,6.3,8.6,.152,2.1,2.1,2.9,4.8
Byron Irvin,SG,24,33,4,9.6,1.8,3.9,.465,0.0,0.2,.200,1.8,3.8,.476,.469,1.5,1.8,.820,0.7,0.6,1.4,0.7,0.5,0.1,0.5,1.0,5.2,1991/1992,WSB,6-5,190,1,17.5,.549,.039,11.4,2.3,0.4,9.3,22.7,0.7,0.9,.143,0.8,0.8,0.2,7.8
Mark Jackson,PG,25,72,21,22.2,3.5,7.1,.492,0.2,0.7,.255,3.3,6.3,.519,.505,1.6,2.2,.731,0.9,1.9,2.7,6.3,0.8,0.1,1.9,1.1,8.8,1991/1992,NYK,6-1,180,3,18.2,.545,.100,42.2,1.9,0.3,18.9,19.5,2.7,4.2,.126,2.5,3.1,1.8,7.1
Dave Jamerson,SG,23,37,0,5.5,1.2,3.1,.381,0.1,0.5,.263,1.0,2.5,.404,.403,0.6,0.7,.815,0.2,0.6,0.8,0.7,0.2,0.0,0.5,0.6,3.1,1991/1992,HOU,6-5,190,R,12.2,.452,.168,20.8,1.4,0.3,13.8,29.5,-0.1,0.1,.026,-3.6,-2.7,-0.1,7.9
Henry James,PF,25,37,4,13.6,3.0,6.9,.441,0.6,1.6,.400,2.4,5.2,.454,.488,1.4,1.9,.722,0.7,1.4,2.1,0.9,0.4,0.1,1.0,1.6,8.1,1991/1992,CLE,6-8,220,R,14.7,.525,.236,10.6,1.5,0.6,11.5,27.9,0.2,0.6,.053,-2.1,-0.1,0.0,9.1
Les Jepsen,C,23,21,0,5.0,0.5,1.7,.306,0.0,0.0,.000,0.5,1.7,.314,.306,0.3,0.4,.667,0.8,1.0,1.8,0.0,0.0,0.1,0.1,0.8,1.3,1991/1992,GSW,7-0,237,R,7.7,.350,.028,1.2,0.4,1.7,7.0,16.3,-0.1,0.0,.010,-9.2,-4.6,-0.2,19.4
Avery Johnson,PG,25,21,4,10.3,1.4,3.2,.426,0.0,0.2,.000,1.4,3.0,.453,.426,1.0,1.5,.656,0.4,0.6,1.0,3.7,0.7,0.1,1.3,1.0,3.8,1991/1992,DEN,5-10,175,2,14.2,.481,.059,41.5,2.7,0.5,24.8,17.7,0.0,0.1,.014,-2.6,-0.4,0.0,4.6
Avery Johnson,PG,25,47,10,15.8,2.1,4.4,.483,0.0,0.1,.200,2.1,4.3,.490,.486,0.8,1.2,.691,0.3,0.9,1.2,3.3,0.7,0.0,1.0,0.9,5.1,1991/1992,SAS,5-10,175,2,13.2,.517,.024,28.5,2.2,0.2,16.8,15.7,0.7,1.6,.101,0.5,-0.3,0.5,4.2
Buck Johnson,SF,27,73,70,31.2,5.7,12.0,.477,0.0,0.2,.133,5.7,11.8,.483,.478,2.2,3.0,.727,1.5,3.0,4.5,1.9,1.1,0.6,1.7,3.3,13.6,1991/1992,HOU,6-7,190,4,12.9,.512,.017,9.2,1.7,1.2,11.2,19.7,1.6,4.6,.097,-0.8,-1.5,0.7,7.7
Eddie Johnson,SG,31,15,0,20.8,5.9,12.4,.473,0.4,1.4,.286,5.5,11.0,.497,.489,1.4,1.9,.724,1.1,2.0,3.1,1.1,0.6,0.1,1.6,2.5,13.5,1991/1992,PHO,6-7,215,9,14.5,.511,.113,8.7,1.4,0.4,10.8,29.1,0.0,0.3,.051,-3.2,-1.0,-0.1,8.1
Eddie Johnson,SG,31,66,27,26.9,6.9,14.2,.486,0.5,1.5,.333,6.4,12.7,.504,.504,3.2,3.5,.912,1.4,2.0,3.4,1.4,0.7,0.1,1.5,2.2,17.4,1991/1992,SEA,6-7,215,9,18.4,.555,.106,8.5,1.4,0.3,8.6,26.9,4.2,5.2,.140,0.2,2.4,1.0,7.6
Kevin Johnson,PG,24,77,76,36.0,7.7,14.9,.516,0.1,0.6,.205,7.6,14.3,.529,.520,6.7,8.0,.843,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2,1991/1992,PHO,6-1,180,3,23.7,.604,.038,40.7,2.8,0.2,16.0,24.8,9.5,12.7,.220,6.6,5.5,6.0,5.3
Magic Johnson,PG,31,79,79,37.1,5.9,12.4,.477,1.0,3.2,.320,4.9,9.2,.532,.518,6.6,7.3,.906,1.3,5.6,7.0,12.5,1.3,0.2,4.0,1.9,19.4,1991/1992,LAL,6-9,215,11,25.1,.623,.256,49.3,1.8,0.3,20.4,22.9,11.2,15.4,.251,9.0,7.0,8.1,10.9
Steve Johnson,C,33,24,8,9.5,1.4,2.6,.540,0.0,0.0,0,1.4,2.6,.540,.540,0.9,1.5,.595,0.8,1.6,2.4,0.7,0.2,0.2,1.0,2.1,3.8,1991/1992,GSW,6-10,235,9,9.6,.568,.000,9.9,0.8,1.0,24.0,18.3,0.0,0.2,.034,-4.5,-3.9,-0.1,13.8
Vinnie Johnson,SG,34,82,28,29.1,5.0,11.4,.434,0.1,0.4,.324,4.8,11.0,.438,.440,1.6,2.5,.646,1.3,2.1,3.4,3.3,0.9,0.2,1.4,2.0,11.7,1991/1992,DET,6-2,200,11,12.8,.466,.036,17.8,1.6,0.4,10.3,21.0,1.0,3.8,.077,-0.2,-0.9,1.1,6.7
Charles Jones,C,33,62,54,24.2,1.1,2.0,.540,0.0,0.0,0,1.1,2.0,.540,.540,0.5,0.8,.580,1.9,3.9,5.8,0.8,0.8,2.0,0.7,3.2,2.6,1991/1992,WSB,6-9,215,7,9.4,.558,.000,4.0,1.7,4.9,24.0,5.3,0.6,2.9,.092,-0.5,-3.4,0.6,13.1
Michael Jordan,SG,27,82,82,37.0,12.1,22.4,.539,0.4,1.1,.312,11.7,21.3,.551,.547,7.0,8.2,.851,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5,1991/1992,CHI,6-6,198,6,31.6,.605,.051,25.2,3.7,1.7,8.7,32.9,14.9,20.3,.321,12.0,8.9,10.8,9.5
Shawn Kemp,PF,21,81,66,30.1,5.7,11.2,.508,0.0,0.1,.167,5.7,11.1,.513,.509,3.6,5.4,.661,3.3,5.1,8.4,1.8,1.0,1.5,2.5,3.9,15.0,1991/1992,SEA,6-10,230,1,17.6,.551,.013,8.5,1.6,3.3,15.5,22.4,3.1,6.1,.121,0.0,0.1,1.2,16.6
Steve Kerr,PG,25,57,4,15.9,1.7,3.9,.444,0.5,1.1,.452,1.2,2.8,.441,.507,0.8,0.9,.849,0.1,0.6,0.6,2.3,0.5,0.1,0.7,0.9,4.8,1991/1992,CLE,6-3,175,2,10.9,.550,.278,20.3,1.6,0.3,14.0,13.8,0.9,1.3,.071,-1.8,-1.3,0.0,2.4
Jerome Kersey,SF,28,73,72,32.3,5.8,12.2,.478,0.1,0.2,.308,5.8,12.0,.481,.480,3.2,4.5,.709,2.3,4.3,6.6,3.1,1.4,1.0,2.0,3.4,14.8,1991/1992,POR,6-7,215,6,15.6,.526,.015,13.4,2.0,2.0,12.6,20.3,2.9,6.7,.136,1.9,0.4,2.3,11.3
Alec Kessler,C,24,78,18,16.1,2.6,6.0,.425,0.0,0.1,.000,2.6,5.9,.429,.425,1.1,1.7,.672,1.5,2.8,4.3,0.4,0.2,0.3,1.4,2.4,6.2,1991/1992,MIA,6-11,230,R,8.4,.462,.009,3.7,0.7,1.3,17.0,20.5,-1.4,-0.1,-0.005,-7.5,-5.4,-1.7,14.9
Randolph Keys,SF,24,44,0,10.8,1.3,3.3,.407,0.1,0.3,.214,1.3,3.0,.427,.417,0.4,0.8,.576,0.9,1.4,2.3,0.4,0.5,0.3,0.8,2.1,3.2,1991/1992,CHH,6-7,195,2,7.3,.439,.097,5.4,2.3,2.0,18.0,17.5,-0.6,-0.2,-0.018,-5.8,-5.7,-0.5,12.2
Bo Kimble,SG,24,62,22,16.2,2.6,6.7,.380,0.3,1.0,.292,2.3,5.7,.397,.403,1.5,1.9,.773,0.7,1.2,1.9,1.2,0.5,0.1,1.2,2.5,6.9,1991/1992,LAC,6-4,190,R,7.7,.456,.156,10.8,1.4,0.5,14.1,22.1,-0.8,0.0,.000,-5.9,-4.9,-1.0,6.4
Bernard King,SF,34,64,64,37.5,11.1,23.6,.472,0.1,0.6,.216,11.0,23.0,.478,.475,6.0,7.6,.790,1.8,3.2,5.0,4.6,0.9,0.3,4.0,2.9,28.4,1991/1992,WSB,6-7,205,12,19.1,.527,.024,21.8,1.1,0.4,12.9,34.4,1.9,3.5,.070,1.1,2.8,1.8,7.3
Stacey King,PF,24,76,6,15.8,2.1,4.4,.467,0.0,0.0,.000,2.1,4.4,.470,.467,1.4,2.0,.704,0.9,1.8,2.7,0.9,0.3,0.6,1.2,1.8,5.5,1991/1992,CHI,6-11,230,1,10.2,.523,.006,6.9,1.0,2.2,18.5,17.6,0.1,1.5,.059,-3.6,-3.1,-0.5,10.2
Greg Kite,C,29,82,82,27.1,2.0,4.1,.491,0.0,0.0,0,2.0,4.1,.491,.491,0.8,1.5,.512,2.3,4.9,7.2,0.7,0.3,1.0,1.2,3.6,4.8,1991/1992,ORL,6-11,250,7,7.4,.504,.000,3.5,0.5,2.2,20.6,9.0,0.0,2.0,.043,-3.5,-3.8,-0.8,14.4
Joe Kleine,C,29,72,1,11.8,1.4,3.0,.468,0.0,0.0,.000,1.4,3.0,.472,.468,0.8,1.0,.783,1.0,2.4,3.4,0.3,0.2,0.2,0.7,1.5,3.6,1991/1992,BOS,6-11,255,5,9.9,.519,.009,3.0,0.9,0.9,17.6,14.9,0.2,1.2,.069,-4.3,-3.2,-0.5,15.8
Negele Knight,PG,23,64,6,12.4,2.0,4.8,.425,0.1,0.4,.240,2.0,4.4,.442,.435,1.1,1.8,.602,0.3,0.8,1.1,3.0,0.3,0.1,1.2,1.3,5.3,1991/1992,PHO,6-1,175,R,12.1,.471,.081,32.6,1.2,0.5,17.4,22.4,0.0,0.6,.037,-2.7,-0.9,-0.1,4.9
Bart Kofoed,SG,26,5,0,4.2,0.0,0.6,.000,0.0,0.0,0,0.0,0.6,.000,.000,0.6,1.2,.500,0.4,0.2,0.6,0.8,0.0,0.0,0.4,0.8,0.6,1991/1992,GSW,6-4,210,2,0.7,.266,.000,21.2,0.0,0.0,26.2,14.5,0.0,-0.1,-0.116,-9.4,-6.1,0.0,7.9
Jon Koncak,C,27,77,61,25.1,1.8,4.2,.436,0.0,0.1,.125,1.8,4.1,.444,.438,0.4,0.7,.593,1.3,3.6,4.9,1.6,1.0,1.0,0.6,3.4,4.1,1991/1992,ATL,7-0,250,5,8.4,.454,.025,8.3,1.9,2.4,12.7,8.4,0.6,2.5,.062,-0.7,-2.7,0.6,10.6
Frank Kornet,PF,24,32,0,4.9,0.7,1.9,.371,0.2,0.6,.278,0.6,1.4,.409,.411,0.2,0.4,.538,0.3,0.4,0.8,0.3,0.2,0.0,0.3,0.9,1.8,1991/1992,MIL,6-9,225,1,6.2,.428,.290,8.3,1.6,0.4,14.0,21.5,-0.2,-0.1,-0.023,-8.2,-5.8,-0.2,9.1
Bill Laimbeer,C,33,82,81,32.5,4.5,9.5,.478,0.5,1.5,.296,4.1,8.0,.513,.502,1.5,1.8,.837,2.1,6.9,9.0,1.9,0.5,0.7,1.2,3.0,11.0,1991/1992,DET,6-11,245,10,14.2,.536,.161,8.8,0.7,1.3,10.4,15.5,3.6,8.0,.144,1.5,0.2,2.3,15.8
Jerome Lane,PF,24,62,25,22.3,3.3,7.4,.438,0.0,0.1,.250,3.2,7.4,.440,.439,0.9,2.3,.411,4.5,4.8,9.3,2.0,0.8,0.2,1.7,3.1,7.5,1991/1992,DEN,6-6,230,2,12.8,.443,.009,10.6,1.6,0.5,16.7,16.0,0.1,0.6,.021,-4.0,-1.6,-0.7,19.7
Andrew Lang,C,24,63,18,18.3,1.7,3.0,.577,0.0,0.0,.000,1.7,3.0,.580,.577,1.5,2.1,.715,1.8,3.0,4.8,0.4,0.3,2.0,0.7,2.7,4.9,1991/1992,PHO,6-11,245,2,13.6,.632,.005,2.9,0.7,6.3,15.5,10.3,1.9,3.7,.155,1.2,-1.0,0.9,14.4
Eric Leckner,C,24,32,0,11.8,1.2,3.0,.406,0.0,0.0,0,1.2,3.0,.406,.406,0.5,0.8,.593,0.8,1.9,2.7,0.6,0.1,0.3,0.8,2.2,2.9,1991/1992,SAC,6-11,265,2,5.6,.436,.000,7.0,0.5,1.9,18.8,15.4,-0.5,-0.1,-0.018,-7.2,-6.7,-0.5,13.0
Eric Leckner,C,24,40,2,18.6,2.3,5.0,.465,0.0,0.0,0,2.3,5.0,.465,.465,1.2,2.1,.548,1.4,3.8,5.2,0.5,0.3,0.3,1.1,3.1,5.8,1991/1992,CHH,6-11,265,2,8.4,.489,.000,4.0,0.7,0.9,15.8,16.0,-0.3,0.3,.020,-6.3,-4.8,-0.8,16.1
Kurk Lee,PG,23,48,0,5.5,0.4,1.5,.268,0.1,0.3,.200,0.3,1.2,.286,.289,0.5,0.6,.893,0.1,0.5,0.6,0.7,0.2,0.0,0.4,0.8,1.4,1991/1992,NJN,6-3,190,R,5.6,.396,.211,16.8,2.0,0.4,19.4,15.7,-0.3,-0.1,-0.013,-6.3,-6.4,-0.3,5.9
Tim Legler,SG,24,10,0,14.8,2.5,7.2,.347,0.3,1.2,.250,2.2,6.0,.367,.368,0.5,0.6,.833,0.8,1.0,1.8,1.2,0.2,0.0,0.4,2.0,5.8,1991/1992,DEN,6-4,200,1,6.4,.389,.167,9.9,0.6,0.0,5.1,18.7,-0.1,-0.1,-0.046,-8.5,-4.7,-0.2,5.7
Gary Leonard,C,23,4,0,2.3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.5,1.0,.500,0.0,0.5,0.5,0.0,0.0,0.3,0.0,0.5,0.5,1991/1992,ATL,7-1,250,1,8.7,.568,0,0.0,0.0,6.7,0.0,8.1,0.0,0.0,.114,-5.2,-6.3,0.0,12.1
Jim Les,PG,27,55,8,25.4,2.2,4.9,.444,1.3,2.8,.461,0.9,2.1,.421,.576,1.6,1.9,.835,0.3,1.7,2.0,5.4,1.0,0.1,1.4,2.6,7.2,1991/1992,SAC,5-11,165,2,13.7,.630,.575,30.6,2.1,0.2,19.3,12.1,2.7,3.6,.125,-0.1,0.1,0.7,4.5
Clifford Lett,PG,25,7,0,14.1,2.0,4.1,.483,0.0,0.1,.000,2.0,4.0,.500,.483,0.9,1.3,.667,0.1,0.9,1.0,1.0,0.3,0.1,1.1,1.3,4.9,1991/1992,SAS,6-3,170,1,6.9,.516,.034,9.8,1.0,0.6,19.5,17.2,-0.1,0.0,.014,-5.2,-5.1,-0.1,3.9
Fat Lever,SG,30,4,0,21.5,2.3,5.8,.391,0.0,0.8,.000,2.3,5.0,.450,.391,2.8,3.5,.786,0.8,3.0,3.8,3.0,1.5,0.8,2.5,1.3,7.3,1991/1992,DAL,6-3,170,8,13.5,.497,.130,19.5,3.6,2.2,25.5,20.2,-0.1,0.0,.014,0.3,-2.5,0.0,9.9
Cliff Levingston,PF,30,78,0,13.0,1.6,3.6,.450,0.0,0.1,.250,1.6,3.6,.453,.452,0.8,1.2,.648,1.3,1.6,2.9,0.7,0.4,0.6,0.6,1.8,4.0,1991/1992,CHI,6-8,210,8,11.5,.488,.014,7.0,1.4,2.7,13.4,15.7,0.7,2.0,.095,-2.9,-2.7,-0.2,13.1
Reggie Lewis,SG,25,79,79,36.4,7.6,15.4,.491,0.0,0.2,.077,7.6,15.3,.495,.491,3.6,4.3,.826,1.5,3.7,5.2,2.5,1.2,1.1,1.9,3.0,18.7,1991/1992,BOS,6-7,195,3,16.2,.540,.011,9.6,1.7,1.7,9.7,22.2,4.5,7.5,.124,0.7,0.6,1.9,7.9
Marcus Liberty,SF,22,76,18,15.4,2.8,6.8,.421,0.2,0.8,.298,2.6,6.0,.436,.438,0.8,1.2,.630,1.5,1.4,2.9,0.8,0.6,0.3,0.9,2.0,6.7,1991/1992,DEN,6-8,205,R,10.4,.458,.111,6.8,1.7,0.9,11.4,18.8,-0.1,-0.1,-0.004,-4.5,-2.4,-0.7,8.9
Todd Lichti,SG,24,29,25,29.7,5.7,13.0,.439,0.5,1.6,.298,5.2,11.4,.459,.458,2.0,2.4,.855,1.7,2.2,3.9,2.5,1.6,0.3,1.1,2.2,14.0,1991/1992,DEN,6-4,205,1,13.6,.496,.124,10.5,2.3,0.5,7.5,18.1,0.9,1.0,.055,-2.2,-1.0,-0.1,6.1
Alton Lister,C,32,77,65,20.2,2.4,5.1,.478,0.0,0.0,.000,2.4,5.1,.480,.478,1.5,2.6,.569,1.6,4.7,6.3,1.2,0.3,1.2,1.4,3.7,6.4,1991/1992,GSW,7-0,240,9,10.7,.509,.003,7.7,0.6,3.4,18.0,15.1,0.2,1.9,.058,-2.9,-3.2,-0.3,17.1
Ian Lockhart,SF,23,1,0,2.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1991/1992,PHO,6-8,240,R,76.3,1.064,.000,0.0,0.0,0.0,0.0,38.3,0.0,0.0,1.084,39.9,31.5,0.0,0.0
Brad Lohaus,PF,26,81,3,15.0,2.2,5.1,.431,0.4,1.5,.277,1.8,3.7,.493,.471,0.5,0.7,.685,0.7,2.0,2.7,0.9,0.6,0.9,0.7,2.1,5.3,1991/1992,MIL,6-11,230,3,11.9,.488,.287,8.9,2.0,3.9,12.0,17.6,0.1,1.8,.071,-0.8,-2.0,0.4,10.6
Grant Long,PF,24,80,66,31.4,3.5,7.0,.492,0.0,0.1,.167,3.4,6.9,.495,.493,2.3,2.9,.787,2.8,4.3,7.1,2.2,1.5,0.5,2.0,3.7,9.2,1991/1992,MIA,6-8,225,2,12.2,.554,.011,9.7,2.3,1.0,19.1,13.3,2.0,5.0,.095,-0.3,-1.4,1.1,12.6
John Long,SG,34,25,0,10.2,1.4,3.4,.412,0.1,0.2,.333,1.3,3.2,.418,.424,1.0,1.0,.960,0.4,0.9,1.3,0.7,0.4,0.1,0.6,0.7,3.8,1991/1992,DET,6-5,195,12,11.9,.500,.071,10.5,1.8,0.5,12.7,18.9,0.1,0.5,.090,0.0,-1.5,0.1,7.1
Rick Mahorn,C,32,80,74,30.5,3.3,7.0,.467,0.0,0.1,.000,3.3,6.9,.475,.467,2.4,3.0,.788,1.9,5.9,7.8,1.5,1.0,0.7,1.6,3.5,8.9,1991/1992,PHI,6-10,240,10,11.8,.535,.016,6.8,1.6,1.4,16.0,14.2,1.3,4.4,.086,-1.7,-2.3,0.1,14.3
Dan Majerle,SF,25,77,7,29.6,5.2,10.7,.484,0.4,1.1,.349,4.8,9.5,.499,.502,2.9,3.9,.762,2.2,3.2,5.4,2.8,1.4,0.5,1.5,2.1,13.6,1991/1992,PHO,6-6,215,2,16.9,.552,.105,12.9,2.2,1.0,10.7,19.1,4.4,7.2,.152,2.7,2.0,2.7,10.0
Jeff Malone,SG,29,69,69,35.7,7.6,15.0,.508,0.0,0.1,.167,7.6,14.9,.510,.508,3.3,3.7,.917,0.5,2.5,3.0,2.1,0.7,0.1,1.6,1.9,18.6,1991/1992,UTA,6-4,205,7,14.4,.560,.006,9.7,1.0,0.2,8.6,22.5,3.1,5.1,.100,-2.0,-0.8,0.0,4.9
Karl Malone,PF,27,82,82,40.3,10.3,19.6,.527,0.0,0.2,.286,10.3,19.4,.529,.528,8.3,10.8,.770,2.9,8.9,11.8,3.3,1.1,1.0,3.0,3.3,29.0,1991/1992,UTA,6-9,250,5,24.8,.596,.009,14.7,1.4,1.5,10.9,30.1,9.9,15.5,.225,5.4,4.8,6.2,17.2
Moses Malone,C,35,82,15,23.3,3.4,7.3,.468,0.0,0.1,.000,3.4,7.2,.474,.468,3.8,4.5,.831,3.3,4.8,8.1,0.8,0.4,0.9,1.7,1.6,10.6,1991/1992,ATL,6-10,215,16,18.2,.570,.012,5.1,0.8,2.3,15.2,19.4,3.8,5.6,.140,-0.5,1.2,0.7,19.1
Danny Manning,PF,24,73,47,30.1,6.4,12.4,.519,0.0,0.0,.000,6.4,12.4,.521,.519,3.0,4.2,.716,2.3,3.5,5.8,2.7,1.6,0.8,2.6,3.8,15.9,1991/1992,LAC,6-10,230,2,16.9,.557,.003,13.9,2.6,1.7,15.3,22.7,2.2,5.2,.113,2.0,0.7,2.2,10.4
Šarūnas Marčiulionis,SG,26,50,10,19.7,3.7,7.3,.501,0.0,0.1,.167,3.6,7.2,.507,.503,3.6,4.9,.724,1.0,1.3,2.4,1.7,1.2,0.1,1.5,2.7,10.9,1991/1992,GSW,6-5,200,1,16.3,.576,.016,12.0,2.9,0.2,13.7,22.2,1.8,2.5,.121,0.1,0.0,0.5,6.6
Jeff Martin,PG,24,74,26,18.0,2.9,6.9,.422,0.4,1.2,.307,2.5,5.7,.446,.449,0.9,1.4,.680,0.7,1.1,1.8,0.9,0.5,0.4,0.7,1.4,7.1,1991/1992,LAC,6-5,195,1,10.0,.475,.174,7.0,1.3,1.4,8.2,18.3,0.2,1.3,.046,-2.4,-1.9,-0.1,5.3
Anthony Mason,PF,24,3,0,7.0,0.7,1.3,.500,0.0,0.0,0,0.7,1.3,.500,.500,2.0,2.7,.750,1.0,0.7,1.7,0.0,0.3,0.0,0.0,2.0,3.3,1991/1992,DEN,6-8,250,1,15.7,.665,.000,0.0,2.0,0.0,0.0,12.6,0.1,0.1,.220,-2.4,-0.7,0.0,11.2
