Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Todd Day,SG,24,MIL,76,39,28.0,4.6,11.1,.415,0.4,1.9,.223,4.2,9.2,.456,.435,3.0,4.4,.698,1.5,2.6,4.1,1.8,1.4,0.7,1.7,2.9,12.7,1994/1995
Terry Dehere,PG,22,LAC,64,6,11.9,2.0,5.3,.377,0.4,0.9,.404,1.7,4.5,.372,.411,1.0,1.3,.753,0.4,0.7,1.1,1.2,0.4,0.0,1.0,1.1,5.3,1994/1995
Vinny Del Negro,SG,27,SAS,77,56,25.3,4.0,8.2,.487,0.2,0.6,.349,3.8,7.7,.497,.499,1.8,2.2,.824,0.4,1.7,2.1,4.2,0.8,0.0,1.3,2.2,10.0,1994/1995
Bison Dele,C,24,DEN,80,1,18.8,3.1,5.8,.541,0.0,0.0,.000,3.1,5.8,.544,.541,1.7,2.6,.649,1.7,3.9,5.6,0.6,0.6,1.1,1.3,2.8,8.0,1994/1995
Dell Demps,PG,23,GSW,2,0,5.5,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,1.0,.000,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,2.0,1994/1995
Vlade Divac*,C,25,LAL,79,73,34.0,5.7,11.3,.506,0.1,0.6,.191,5.6,10.7,.524,.511,2.6,3.8,.686,3.6,7.2,10.8,3.9,1.2,1.4,2.4,3.6,14.2,1994/1995
Sherman Douglas,PG,27,BOS,78,78,35.8,5.4,11.8,.462,0.2,0.7,.232,5.3,11.1,.477,.470,2.3,3.5,.641,0.9,1.6,2.5,8.8,1.1,0.1,3.0,2.2,13.3,1994/1995
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1994/1995
Greg Dreiling,C,31,DAL,54,19,12.7,1.0,1.9,.500,0.0,0.0,1.000,0.9,1.9,.495,.505,0.5,0.7,.711,0.9,2.3,3.1,0.6,0.3,0.4,0.8,2.9,2.4,1994/1995
Clyde Drexler*,SG,31,POR,68,68,34.3,7.0,16.3,.428,1.0,3.2,.324,5.9,13.0,.454,.460,4.2,5.4,.777,2.3,4.3,6.5,4.9,1.4,0.5,2.5,3.0,19.2,1994/1995
